status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Data Engineer,Axis Data,"Dallas, TX",2024-11-21,Strong grasp of data engineering principles. Provide technical support and troubleshooting for data-related issues. Develop and optimize data pipelines using SQL and Python.,"Job types: Full-time
Remote: Remote
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=131957662012239b,IndeedScraperUSAEng_131957662012239b,IndeedScraperUSAEng,Data,USA_ENGLISH,,FULLY_REMOTE
NEW,Data & Analytics Governance Product Manager,Verizon,"Irving, TX",2024-11-06,"Continuously driving improvement and automation to achieve self-service publish and managing of data in the Marketplace by data owners across Verizon business units, includes auto discovery, auto…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=3f674eb41acb8444,IndeedScraperUSAEng_3f674eb41acb8444,IndeedScraperUSAEng,Data,USA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Data Entry Pharmacy Technician,SandsRx Pharmacy,"Plano, TX 75075",2024-10-23,"At SandsRx, we are dedicated to providing top-notch pharmaceutical care in a closed-door setting. Our Class G Drug Processing Pharmacy focuses on the efficient processing of prescriptions and…","Job types: Full-time
Benefits: Paid holidays, Health insurance, Dental insurance, 401(k), Paid time off, Vision insurance, 401(k) matching, Employee discount, Flexible schedule, Life insurance
Job types cc: Full-time
Schedules: Weekends as needed, Monday to Friday",https://www.indeed.com/m/viewjob?jk=b48a9581ee2e8fe9,IndeedScraperUSAEng_b48a9581ee2e8fe9,IndeedScraperUSAEng,Data,USA_ENGLISH,$18 - $22 hourly,UNKNOWN
NEW,2025 | Americas | Dallas Metro Area | Corporate Treasury | Summer Analyst,Goldman Sachs,"Dallas, TX 75201",2024-10-23,Our Summer Analyst Program is a nine to ten week summer internship for students pursuing a bachelors / graduate degree. You will be fully immersed in our day-to-day activities.,"Job types: Internship
Job types cc: Seasonal, Internship",https://www.indeed.com/m/viewjob?jk=e4dc2d5e64f17330,IndeedScraperUSAEng_e4dc2d5e64f17330,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Center Maintenance Technician,CBRE,"Fort Worth, TX 76102",2024-10-23,"As a CBRE Data Center Technician, you will perform preventative maintenance and corrective repairs within a Data Center operation. This job is part of the Critical and Technical Services job function.","Job types: Full-time
Job types cc: Full-time
Schedules: Weekends as needed, Holidays",https://www.indeed.com/m/viewjob?jk=6029f999697fe178,IndeedScraperUSAEng_6029f999697fe178,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Integrity Specialist,Heritage Grocers Group,"Addison, TX 75001",2024-11-07,"* Transfer data from paper formats into computer files or database systems using keyboards, data recorders or scanners; * Review pricing data for deficiencies and/or errors and correct any…","Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance, Dental insurance, 401(k), Vision insurance, 401(k) matching, Employee discount, Life insurance
Job types cc: Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=c9408d0dd7f7c386,IndeedScraperUSAEng_c9408d0dd7f7c386,IndeedScraperUSAEng,Data,USA_ENGLISH,$16 - $18 hourly,UNKNOWN
NEW,Data Entry,Jackie Talmo Decor,"Dallas, TX 75201",2024-10-23,"Typing data directly and accurately. Summarizing data for standardized reports. The job requires transferring data from one source to another through data entry equipment, word processing, or verbal…",,https://www.indeed.com/m/viewjob?jk=6eaba5aec1b1e3b8,IndeedScraperUSAEng_6eaba5aec1b1e3b8,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Director, Data Engineering - Enterprise Identity Platform",Capital One,"Plano, TX 75023",2024-10-23,"This role will build teams to deliver highly performant and scalable data and fraud products and platforms to drive consumption of data from our enterprise data ecosystem, while driving data…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2a0d2af26a5b0389,IndeedScraperUSAEng_2a0d2af26a5b0389,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Database Administrator-Local Dallas residents Only-,American Auto Auction Group LLC,"Dallas, TX",2024-11-08,Collaborate with senior team members to design efficient data models and optimize queries. Willingness to work with legacy systems and adapt to established data models.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=a039453c6611d172,IndeedScraperUSAEng_a039453c6611d172,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $95000 yearly,UNKNOWN
NEW,Data Scientist - AI Trainer,DataAnnotation,"Frisco, TX",2024-10-31,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write…","Job types: Contract
Remote: Remote
Benefits: Flexible schedule
Job types cc: Contract
Schedules: Choose your own hours",https://www.indeed.com/m/viewjob?jk=85d35bca8e3dc6d5,IndeedScraperUSAEng_85d35bca8e3dc6d5,IndeedScraperUSAEng,Data,USA_ENGLISH,$40 - $-1 hourly,FULLY_REMOTE
NEW,Data Entry Specialist,Gold Standard Auctions,"Dallas, TX 75234",2024-10-23,Proficient in data entry and database management software. This role acquires attention to detail and proficiency in data management software. Quality Control: Perform regular quality checks to ensure…,"Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance, Dental insurance, Paid time off, Vision insurance
Job types cc: Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=80ad34f3fe1d79bc,IndeedScraperUSAEng_80ad34f3fe1d79bc,IndeedScraperUSAEng,Data,USA_ENGLISH,$22 - $26 hourly,UNKNOWN
NEW,Data Scientist/Machine Learning,AWL,"Dallas, TX",2024-11-21,"AWL fosters a vibrant, dynamic work culture built on trust, data, technology, passion, collaboration, and winning, where employees want to engage and be impactful. Pay: From $75,000.00 per year.","Job types: Full-time
Remote: Remote
Benefits: Health savings account, Health insurance, Dental insurance, 401(k), Flexible spending account, Paid time off, Parental leave, Vision insurance, 401(k) matching, Life insurance, Retirement plan
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=3bd1900fc2e39283,IndeedScraperUSAEng_3bd1900fc2e39283,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $-1 yearly,FULLY_REMOTE
NEW,Data Entry Specialist -REMOTE,Smart Data Solutions LLC,"Plano, TX 75024",2024-10-23,Required to maintain confidentially of client data. Review and verify entered data meets or exceeds quality requirements. Accurately enter data in the QuickClaim system using the constant supply of…,"Job types: Full-time
Remote: Remote
Benefits: Paid holidays, Disability insurance, Health insurance, Dental insurance, Paid time off, Vision insurance, 401(k) matching
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=94806fdae7f3d563,IndeedScraperUSAEng_94806fdae7f3d563,IndeedScraperUSAEng,Data,USA_ENGLISH,$12 - $12 hourly,FULLY_REMOTE
NEW,Regional Data Center Manager,CoreWeave,"Denton, TX",2024-11-21,"The ideal candidate will have a strong background in data center operations, hands-on experience in data center management, and a track record of managing staff effectively.","Remote: Hybrid work
Benefits: Paid parental leave, Disability insurance, Health insurance, Dental insurance, Flexible spending account, Tuition reimbursement, Paid time off, Parental leave, Vision insurance, 401(k) matching, Life insurance",https://www.indeed.com/m/viewjob?jk=359ce71240bc4e82,IndeedScraperUSAEng_359ce71240bc4e82,IndeedScraperUSAEng,Data,USA_ENGLISH,$115000 - $130000 yearly,TEMPORARILY_REMOTE
