status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Junior Big Data Developer,QSS,"Iselin, NJ 08830",2024-10-26,"Ability to write SQL and interact with data. Ability to design and create data control checks. 3+ years of total experience, primarily as a Big Data Developer.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=8b401f8bd4eb5447,IndeedScraperUSAEng_8b401f8bd4eb5447,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,2025 Fall Associate- Economics and Data Analytics,"Berkeley Research Group, LLC","New York, NY 10019",2024-10-26,Associates can implement research skills and complex data analytics techniques on cases for a variety of healthcare clients. Review data sets and qualitative materials to understand the unique…,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=2a90aa6e4f12d1fe,IndeedScraperUSAEng_2a90aa6e4f12d1fe,IndeedScraperUSAEng,Data,USA_ENGLISH,$75000 - $100000 yearly,TEMPORARILY_REMOTE
NEW,Data Integrity Specialist,CareWell Health,"East Orange, NJ 07018",2024-10-26,"Analyze and identify root cause of data discrepancies. Indexes each medical record document appropriately using defined data elements, assuring each document is assigned to the correct patient,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d10066722674b76f,IndeedScraperUSAEng_d10066722674b76f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Clinical Data Scientist (Princeton, NJ)",Otsuka,"Princeton, NJ 08540",2024-11-22,"Work alongside statisticians and data management to perform in-depth exploration of raw data collected from various sources, such as clinical trials, real-world, and public domain data.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5d87dc3681fc9cbf,IndeedScraperUSAEng_5d87dc3681fc9cbf,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Pharmacovigilance (PV) Data Analyst,Katalyst Healthcares & Life Sciences,"Lawrenceville, NJ 08648",2024-10-31,Leverage internal data systems and tools to efficiently maintain data and reporting processes to minimize manual data retrieving. Utilize data analysis tools to aggregate and analyse data to make…,"Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=11f53edbb5b7d1a9,IndeedScraperUSAEng_11f53edbb5b7d1a9,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,"Data Scientist, Business Intelligence",Warner Music Group,"New York, NY",2024-10-26,Familiarity with data visualization tools like Tableau or Power BI. Demonstrated ability to lead and execute data science projects with minimal supervision.,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0392004e07df930d,IndeedScraperUSAEng_0392004e07df930d,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $160000 yearly,TEMPORARILY_REMOTE
NEW,Jr. Web Application Data Engineer,GEI Consultants,"Exton, PA 19341",2024-10-26,Collaborate with data architects and data engineers. Provide programming and data engineering assistance for desktop applications. The Jr. Web Application Data Engineer position is responsible for the…,"Job types: Full-time
Remote: Hybrid work
Benefits: Profit sharing, Commuter assistance, Paid parental leave, Paid holidays, Health insurance, Dental insurance, 401(k), Tuition reimbursement, Paid time off, Cell phone reimbursement, Parental leave, Vision insurance, Opportunities for advancement
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0b481823891b5bd9,IndeedScraperUSAEng_0b481823891b5bd9,IndeedScraperUSAEng,Data,USA_ENGLISH,$25 - $32 hourly,TEMPORARILY_REMOTE
NEW,CNC Manufacturing Data Analyst,Consolidated Machine & Tool,"Cinnaminson, NJ 08077",2024-11-14,"Develop dashboards and visual reports using data visualization tools to present key metrics, process improvements, and real-time data insights to cross-functional teams and senior management.","Job types: Full-time
Benefits: AD&D insurance, Paid holidays, Disability insurance, Dental insurance, Vision insurance, 401(k) matching
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.com/m/viewjob?jk=eb59e83a9714a4d3,IndeedScraperUSAEng_eb59e83a9714a4d3,IndeedScraperUSAEng,Data,USA_ENGLISH,$85000 - $110000 yearly,UNKNOWN
NEW,Enterprise Risk Management - Risk Data Aggregation and Risk Reporting (RDA) Associate,"Bank of China Limited, New York Branch","New York, NY 10018",2024-10-26,Understand and maintain the data mapping and data model of the centralized risk data repository. Perform data analysis of the databases and systems at the bank to facilitate with implementation of…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=289b6b84c0b6937c,IndeedScraperUSAEng_289b6b84c0b6937c,IndeedScraperUSAEng,Data,USA_ENGLISH,$42000 - $90000 yearly,UNKNOWN
NEW,Data Scientist,DEPARTMENT OF TRANSPORTATION,"Manhattan, NY 10004",2024-10-26,"Ability to relate complex trends in the data to larger policy issues is very important, as is being able to work with the operations and planning team to tailor data analysis and products to their…","Job types: Full-time
Benefits: Work from home, Loan forgiveness
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=b0feb04578fe47ca,IndeedScraperUSAEng_b0feb04578fe47ca,IndeedScraperUSAEng,Data,USA_ENGLISH,$61206 - $84805 yearly,UNKNOWN
