status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Data Scientist, Infra Capacity Planning (Leadership)",Meta,"Menlo Park, CA 94025",2024-11-02,Work with large and complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches. You will influence product strategy and investment decisions…,,https://www.indeed.com/m/viewjob?jk=b0908f7d18ace05c,IndeedScraperUSAEng_b0908f7d18ace05c,IndeedScraperUSAEng,Data,USA_ENGLISH,$253000 - $314000 yearly,UNKNOWN
NEW,Senior Data Scientist,BI Fremont,"Fremont, CA 94555",2024-10-26,Experienced in handling unusual data sets such as unstructured data or big data. Experienced in handling various types of data bases including data base operations and understanding of data base…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=7eabdb84934aa1ef,IndeedScraperUSAEng_7eabdb84934aa1ef,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Data Scientist,Meta,"Fremont, CA 94555",2024-10-26,"Continuously monitor and update models to adapt to new data or changes in data patterns. As a lead data scientist, you will partner with stakeholders, Product & Program Managers, and other data…",,https://www.indeed.com/m/viewjob?jk=98f9415500865fbe,IndeedScraperUSAEng_98f9415500865fbe,IndeedScraperUSAEng,Data,USA_ENGLISH,$173000 - $242000 yearly,UNKNOWN
NEW,"Senior, Data Scientist",Walmart,"San Bruno, CA 94066",2024-11-20,"Responsible for Walmart's data platform, data processing, data integrations and data solutions working with internal and external partners. 5+ years of relevant experience in roles with responsibility…","Benefits: Paid jury duty, Paid parental leave, Employee stock purchase plan, Disability insurance, Health insurance, Dental insurance, 401(k), Military leave, Paid time off, Family leave, Parental leave, Vision insurance, 401(k) matching, Life insurance, Paid sick time",https://www.indeed.com/m/viewjob?jk=3e4dcd9dcd2b45db,IndeedScraperUSAEng_3e4dcd9dcd2b45db,IndeedScraperUSAEng,Data,USA_ENGLISH,$90000 - $234000 yearly,UNKNOWN
NEW,Principal Clinical Data Manager,Katalyst Healthcares & Life Sciences,"Santa Clara, CA 95050",2024-10-26,"Lead data management activities in adherence with established standards including third party vendor data reconciliation, medical coding processing, protocol deviation collection, query management to…","Job types: Contract
Job types cc: Contract",https://www.indeed.com/m/viewjob?jk=5c5de0745afc24c4,IndeedScraperUSAEng_5c5de0745afc24c4,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN
NEW,Bioinformatician/Research Data Analyst 1,Stanford University,"Stanford, CA",2024-10-26,"Analyze data processes in documentation. Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause for data problems from input errors or…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=305f01a87aac714b,IndeedScraperUSAEng_305f01a87aac714b,IndeedScraperUSAEng,Data,USA_ENGLISH,$82468 - $106256 yearly,UNKNOWN
NEW,Senior Data Engineer,SS&C,"San Francisco, CA",2024-11-14,"Proven ability transforming data, developing data structures, building a metadata store, and setting up data pipelines or data workflows. Specific responsibilities will include: Building and…","Job types: Full-time
Benefits: Health insurance, Dental insurance, 401(k), Professional development assistance
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=6401ff044a93be00,IndeedScraperUSAEng_6401ff044a93be00,IndeedScraperUSAEng,Data,USA_ENGLISH,$188885 - $200000 yearly,UNKNOWN
NEW,Project Manager of Commissioning (Data Centers),Clear Engineering Recruitment,United States,2024-11-25,"As a Commissioning Engineer, you'll be at the forefront of ensuring integration and optimal functionality of various systems within data centers. This role is an excellent opportunity to be part of…","Job types: Full-time
Benefits: Health insurance, Dental insurance, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=d03be3603b02b87d,IndeedScraperUSAEng_d03be3603b02b87d,IndeedScraperUSAEng,Data,USA_ENGLISH,$130000 - $170000 yearly,UNKNOWN
NEW,"Data Scientist, Legal Technology Solutions",Meta,"Menlo Park, CA 94025",2024-10-26,"3+ years’ experience in the design, deployment, and maintenance of large data pipelines and data warehouses. Apply expertise in Machine Learning, AI, statistics, and data exploration and analysis in…",,https://www.indeed.com/m/viewjob?jk=fb06baf937ab7e90,IndeedScraperUSAEng_fb06baf937ab7e90,IndeedScraperUSAEng,Data,USA_ENGLISH,$124000 - $176000 yearly,UNKNOWN
NEW,Data Engineer - AI/ML,Stanford Health Care,"Palo Alto, CA 94303",2024-10-26,"Elucidating these requirements will require training, developing, and validating researcher-built or vendor provided machine learning algorithms on hospital data as well as working with other members…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=41e9a5985c58febd,IndeedScraperUSAEng_41e9a5985c58febd,IndeedScraperUSAEng,Data,USA_ENGLISH,$76.9 - $101.91 hourly,UNKNOWN
