status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness,state_zip,state,city,job level
NEW,Data Engineer,Infosys,"Richardson, TX",11/7/2024,"Building end-to-end data integration and data warehousing solutions for analytics teams. Extraction, transformation, and loading of data from a wide variety of data sources using Python, SQL and AWS…",,https://www.indeed.com/m/viewjob?jk=4063188a05b44d8f,IndeedScraperUSAEng_4063188a05b44d8f,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX,TX,Richardson,Entry-Level
NEW,Data Analytics Specialist Intermediate,South Jersey Industries,"Mount Laurel, NJ",11/5/2024,Track and escalate data & metering defects. This is a detail-oriented and analytical position to assist with all data aspects related to the generation and monetization of credits produced by SJI’s…,"Job types: Full-time
Benefits: Disability insurance, Dental insurance, Paid time off, Vision insurance, 401(k) matching
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=5452134f37d86de0,IndeedScraperUSAEng_5452134f37d86de0,IndeedScraperUSAEng,Data,USA_ENGLISH,$56250 - $90000 yearly,UNKNOWN, NJ,NJ,Mount Laurel,Entry-Level
NEW,Data Analyst (NY),Excellence Community Schools,"Bronx, NY 10462",10/9/2024,"Acquire data from primary or secondary data sources and maintain databases/data systems. Technical expertise regarding data models, data mining, and segmentation techniques.","Job types: Full-time
Benefits: Dental insurance, Vision insurance, 403(b)
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=9f3127aa0977e653,IndeedScraperUSAEng_9f3127aa0977e653,IndeedScraperUSAEng,Data,USA_ENGLISH,$50000 - $70000 yearly,UNKNOWN, NY 10462,NY,Bronx,Entry-Level
NEW,Project Manager - Data Centers (Silicon Valley),Turner Construction Company,"Milpitas, CA",10/3/2024,"Leads, directs and coordinates the day-to-day management of the project. Reports to: Senior Project Manager or Project Executive. Lead in the development of high-performance teams through supervision,…",,https://www.indeed.com/m/viewjob?jk=5cc804f1d3fd396d,IndeedScraperUSAEng_5cc804f1d3fd396d,IndeedScraperUSAEng,Data,USA_ENGLISH,$120000 - $175000 yearly,UNKNOWN, CA,CA,Milpitas,Mid-Level
NEW,Data Entry Specialist,WS Bath Collections,"Skippack, PA 19474",10/15/2024,"Experience in any of the following position is a plus: data entry, data entry clerk, data entry specialist, and similar. Along with adding new products, you will also be responsible for maintaining a…","Job types: Full-time
Shifts: 8 hour shift
Benefits: Health insurance, 401(k), Paid time off, 401(k) matching
Job types cc: Full-time
Schedules: 8 hour shift, Monday to Friday",https://www.indeed.com/m/viewjob?jk=27b0802636195158,IndeedScraperUSAEng_27b0802636195158,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA 19474,PA,Skippack,Entry-Level
NEW,MADS Section Instructor,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",10/22/2024,"Experience teaching in higher education, graduate-level data science courses, and/or online settings is preferred. The mission of SDSS is to empower a diverse community of faculty conducting research…","Job types: Temporary, Part-time
Shifts: Evening shift
Job types cc: Temporary, Part-time
Schedules: Evening shift",https://www.indeed.com/m/viewjob?jk=adc8cc9ad390a637,IndeedScraperUSAEng_adc8cc9ad390a637,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, NC 27599,NC,Chapel Hill,Entry-Level
NEW,"Vice President, Data Science Consulting",ConcertAI,"Plymouth Meeting, PA",10/8/2024,"Experience with commercial claims and EMR data platforms. Thought Leadership: Represent ConcertAI as a thought leader in commercial healthcare data analytics, providing insights on the potential and…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=4f5127037f4abcbf,IndeedScraperUSAEng_4f5127037f4abcbf,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, PA,PA,Plymouth Meeting,Mid-Level
NEW,Enterprise Data Architect (hybrid schedule),Baylor Scott & White Health,"Dallas, TX 75246",10/5/2024,"Develops database and data solutions by designing data architectures, including business architecture definition, data storage, data analytics, data transformation, and data access.","Benefits: Health insurance, Tuition reimbursement, Paid time off",https://www.indeed.com/m/viewjob?jk=81be2d5d4efcd6c3,IndeedScraperUSAEng_81be2d5d4efcd6c3,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75246,TX,Dallas,Senior-Level
NEW,SQL DBA,Accenture,"Irving, TX 75039",10/5/2024,The Database Administrator (DBA) handles multifunctional database projects. The DBA is primarily responsible for performing many related database functions across one or more teams.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=60f9c0598e424eaa,IndeedScraperUSAEng_60f9c0598e424eaa,IndeedScraperUSAEng,Data,USA_ENGLISH,,UNKNOWN, TX 75039,TX,Irving,Entry-Level
NEW,"Data Scientist, Business Intelligence",Warner Music Group,"New York, NY",10/9/2024,Familiarity with data visualization tools like Tableau or Power BI. Demonstrated ability to lead and execute data science projects with minimal supervision.,"Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.com/m/viewjob?jk=0d85a37310a4f65a,IndeedScraperUSAEng_0d85a37310a4f65a,IndeedScraperUSAEng,Data,USA_ENGLISH,$150000 - $160000 yearly,TEMPORARILY_REMOTE, NY,NY,New York,Mid-Level
